sample	counts	genes	condition
WT_REP1	80351	94	WT
WT_REP2	40279	87	WT
RAP1_UNINDUCED_REP1	39287.994	87	RAP1_UNINDUCED
RAP1_UNINDUCED_REP2	78901.002	95	RAP1_UNINDUCED
RAP1_IAA_30M_REP1	40772.999	94	RAP1_IAA_30M
RAP1_IAA_30M_REP2	40694.002	92	RAP1_IAA_30M
