gene_id	gene_name	baseMean	log2FoldChange	padj
YAL042W	ERV46	258.58520609435	-3.69738801301001	5.74690328779515e-59
YAL021C	CCR4	232.244473867756	-4.12315731694004	2.44712272542214e-55
YAL005C	SSA1	7642.21780325041	1.25099182660816	7.28334664914093e-44
YAL012W	CYS3	269.177069727027	-1.61559413233186	6.81068763413885e-30
YAL038W	CDC19	7892.41839645084	0.763024105753028	3.67798566830163e-29
YAL013W	DEP1	127.619468839703	-6.21292438085738	9.30961498572043e-22
YAL003W	EFB1	777.014833429187	-0.814605431167008	1.11095875150548e-18
YAR042W	SWH1	105.987756218458	-1.9883662907576	1.96588577260299e-18
YAR035W	YAT1	1248.55239942537	-12.8031799685489	3.04443804273476e-16
YAL020C	ATS1	978.82909943651	-9.13285105582222	9.62287476089318e-16
YAL039C	CYC3	62.2418862806201	-5.17129567847175	3.6678015346313e-14
YAL062W	GDH3	45.1860376786635	-5.1151894833892	3.28325141788966e-13
YAL035W	FUN12	603.997400611465	1.01666140184428	9.4676865820233e-10
YAL026C-A	YAL026C-A	83.2128803490025	-6.2509899730926	8.12218548263112e-08
YAL044C	GCV3	60.8891126645348	-1.88886550613956	2.62378970766582e-06
