gene_id	gene_name	baseMean	log2FoldChange	padj
YAL038W	CDC19	7892.41839645084	-0.457396884772527	4.01192430194136e-10
YAL003W	EFB1	777.014833429187	-0.559454082040908	2.23552375881002e-09
YAR010C	YAR010C	7823.72712270355	-0.597623935796039	0.000495050293657571
YAL061W	BDH2	28.5677216512822	0.77454201882335	0.00133172546147388
YAR009C	YAR009C	19028.5302101888	-0.531758446881833	0.00201987742424487
YAL012W	CYS3	269.177069727027	-0.305505216059916	0.0522230257384538
YAL062W	GDH3	45.1860376786635	-0.408676179666666	0.0996893743373812
YAL009W	SPO7	11.8728462523163	0.315897107734042	0.13783492443576
YAL058W	CNE1	23.2144611719601	-0.255177703459869	0.387580270128018
snR18	snR18	8.03308350444794	-0.157423781165172	0.387580270128018
YAL019W	FUN30	102.288851591775	-0.169086543769948	0.570685981562675
YAL035W	FUN12	603.997400611465	-0.140615664863839	0.586117750530836
YAL060W	BDH1	45.6138316434405	0.168780262657297	0.59313666550107
YAL008W	FUN14	11.1160402230129	0.163125484775451	0.59313666550107
YAL017W	PSK1	90.0588287199019	0.148037402924293	0.59313666550107
